title,company,expreince,location,salary,category,starter
Western Regional Manager (in Tobacco Brand),KT&G Corporation,Опыт более 6 лет,Ташкент,30 000 000 – 35 000 000so'mдо вычета налогов,Marketing,False
"Senior Trade Marketing Specialist (Tashkent, Uzbekistan)",ТООHenkel Central Asia & Caucasus,Опыт 3-6 лет,Ташкент,,Marketing,False
PHP developer Middle\Senior,АОSolutions Lab,Опыт 3-6 лет,Ташкент,,PHP,False
Корпоративый архитектор (Enterprice architect),АОOctobank,Опыт 3-6 лет,Ташкент,,IT specialest,False
Procurement Specialist,ОООGrand Diantus,Опыт 1-3 года,Ташкент,,Other,True
Senior BI developer,ОООHRBG,Опыт 3-6 лет,Ташкент,,Software Engineer (General),False
QA Engineer,АОSolutions Lab,Опыт 1-3 года,Ташкент,,QA/Testing,True
Project manager,АОYANGI BANK,Опыт 3-6 лет,Ташкент,,Project Manager,False
Product Manager LMS,ОООCENTRAL ASIAN UNIVERSITY,Опыт 3-6 лет,Ташкент,,Project Manager,False
Golang разработчик (контрактник),ОООCOSCOM ТМ Ucell,Без опыта,Ташкент,,golang,True
Business Development Manager (IT/Digital marketing),Flocktory,Опыт 3-6 лет,Ташкент,,Marketing,False
Менеджер по развитию бизнеса,ENERGON,Опыт 3-6 лет,Ташкент,,Other,False
Менеджер по развитию бизнеса,ООООптимакрос,Опыт 1-3 года,Ташкент,,Other,True
"Consultant (Strategy and Operations, Consulting department)",АОООО «KPMG AUDIT»,Опыт 1-3 года,Ташкент,,Other,True
Senior Consultant ORS (GRCS),АОООО «KPMG AUDIT»,Опыт 3-6 лет,Ташкент,,Other,False
The Accounting and HR Manager,"Person Hunters, ООО",Опыт более 6 лет,Ташкент,,HR/Recruiter,False
Senior Consultant Strategy & Operations,АОООО «KPMG AUDIT»,Опыт 3-6 лет,Ташкент,,Other,False
Инвестиционный менеджер в иностранную компанию,"Person Hunters, ООО",Без опыта,Ташкент,,Other,True
PROCUREMENT ASSOCIATE,"ИПИП ООО «Coca-Cola Ichimligi Uzbekiston, Ltd»",Опыт 1-3 года,Ташкент,,Other,True
Маркетолог,ОООTECHNOLOGY DEVELOPMENT (Ювелирный завод Fonon),Опыт 3-6 лет,Ташкент,от6 000 000so'mна руки,Marketing,False
Технический писатель,АОAloqabank,Опыт 1-3 года,Ташкент,,Other,True
Продавец-консультант ювелирных изделий,ОООTECHNOLOGY DEVELOPMENT (Ювелирный завод Fonon),Без опыта,Ташкент,,Other,True
Менеджер по продажам крупных комплексных проектов IT/AV в Узбекистане,Polymedia,Опыт 1-3 года,Ташкент,,Sales,True
Программист 1С,ОООBalton Trading Asia,Опыт 1-3 года,Ташкент,,Software Engineer (General),True
Java-разработчик,ОООFido-Biznes,Опыт 1-3 года,Ташкент,,Java Developer,True
Разработчик DWH и BI решений,ОООUSMA FUTURE (InHunter),Опыт 3-6 лет,Ташкент,,Software Engineer (General),False
IT-рекрутер,ИПКруглова Маргарита Витальевна,Опыт 1-3 года,Ташкент,100 000 – 170 000₽до вычета налогов,IT specialest,True
IB coordinator,ОООUNITED NATIONAL COMPANY,Опыт 3-6 лет,Ташкент,1 000 – 3 000$до вычета налогов,Other,False
Frontend-разработчик (React),ОООFido-Biznes,Опыт 3-6 лет,Ташкент,,Frontend,False
Head of User Operations,ИП ООО JETOUR SOUEAST AUTOMOTIVE CENTRAL ASIAN,Опыт 1-3 года,Ташкент,,Other,True
Senior IOS developer,АО ANOR BANK,Опыт 3-6 лет,Ташкент,,Mobile Developer,False
Инженер по тестированию,ООО«UZUM TECHNOLOGIES».,Опыт 3-6 лет,Ташкент,,Engineer,False
Brand Supervisor,ИП ООО JETOUR SOUEAST AUTOMOTIVE CENTRAL ASIAN,Опыт 3-6 лет,Ташкент,,Marketing,False
Full-stack Developer (.Net+Angular),Itransition,Опыт 3-6 лет,Ташкент,,Frontend,False
Переводчик с английского языка,ИПРетунский Алексей Павлович,Опыт 1-3 года,Ташкент,,Other,True
Product Analyst,АОPAYME,Опыт 1-3 года,Ташкент,,Data/Analytics,True
DevOps-инженер,ОООLUDITO,Опыт 3-6 лет,Ташкент,,DevOps,False
Microsoft Dynamics 365 Finance Consultant,Itransition,Опыт 1-3 года,Ташкент,,Other,True
Software Engineer,ОООСП ООО «PRIME MEDIA SOLUTION».,Опыт 3-6 лет,Ташкент,от2 000$на руки,Engineer,False
Junior Consultant / German AI consulting company,Qemie GmbH,Опыт 1-3 года,Ташкент,от500€на руки,Other,True
